iter	Passed	Remaining
0	4	490
1	9	445
2	12	413
3	16	401
4	20	390
5	24	380
6	28	374
7	32	370
8	36	364
9	39	359
10	43	355
11	47	351
12	52	348
13	56	346
14	60	345
15	65	342
16	69	338
17	73	334
18	78	334
19	83	332
20	87	327
21	91	324
22	95	319
23	99	314
24	102	308
25	106	303
26	110	298
27	115	296
28	119	292
29	124	289
30	128	285
31	132	280
32	136	276
33	140	273
34	144	268
35	149	265
36	154	262
37	158	258
38	162	254
39	167	251
40	171	247
41	175	242
42	180	239
43	184	235
44	189	231
45	193	226
46	196	221
47	200	217
48	203	212
49	207	207
50	210	202
51	214	198
52	218	193
53	223	190
54	227	186
55	231	181
56	235	178
57	240	174
58	244	170
59	248	165
60	251	160
61	255	156
62	259	152
63	262	147
64	265	143
65	269	138
66	273	134
67	277	130
68	282	126
69	286	122
70	291	118
71	295	115
72	300	110
73	304	107
74	308	102
75	313	98
76	317	94
77	321	90
78	325	86
79	329	82
80	334	78
81	338	74
82	343	70
83	347	66
84	351	62
85	356	57
86	360	53
87	364	49
88	368	45
89	374	41
90	379	37
91	385	33
92	389	29
93	394	25
94	399	21
95	404	16
96	409	12
97	414	8
98	420	4
99	424	0
