country,date,total_cases,new_cases,total_deaths,new_deaths,region,disease
Australia,2003-04-01,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-02,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-03,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-04,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-05,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-07,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-08,1.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-17,3.0,2.0,0.0,0.0,Oceania,SARS
Australia,2003-04-18,3.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-19,3.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-21,3.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-22,3.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-04-23,4.0,1.0,0.0,0.0,Oceania,SARS
Australia,2003-05-22,6.0,2.0,0.0,0.0,Oceania,SARS
Australia,2003-05-28,6.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-05-29,6.0,0.0,0.0,0.0,Oceania,SARS
Australia,2003-06-30,5.0,0.0,0.0,0.0,Oceania,SARS
Belgium,2003-04-01,1.0,0.0,0.0,0.0,Europe,SARS
Belgium,2003-04-02,1.0,0.0,0.0,0.0,Europe,SARS
Belgium,2003-04-03,1.0,0.0,0.0,0.0,Europe,SARS
Belgium,2003-04-04,1.0,0.0,0.0,0.0,Europe,SARS
Belgium,2003-04-05,1.0,0.0,0.0,0.0,Europe,SARS
Brazil,2003-04-03,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-04,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-05,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-07,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-08,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-09,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-10,2.0,1.0,0.0,0.0,,SARS
Brazil,2003-04-11,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-12,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-14,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-15,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-16,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-17,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-18,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-19,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-21,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-22,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-23,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-24,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-25,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-26,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-28,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-29,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-04-30,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-01,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-02,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-03,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-05,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-06,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-07,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-08,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-09,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-10,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-12,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-13,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-14,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-15,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-16,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-17,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-19,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-20,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-21,2.0,0.0,0.0,0.0,,SARS
Brazil,2003-05-22,2.0,0.0,0.0,0.0,,SARS
